Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
TX0000000001,Brazil,3267530.479,Offshore Transfer,1/1/2013 0:00,Person_1101,Construction,USA,TRUE,Illegal,6,1,Bank_40,Singapore
TX0000000002,China,4965766.725,Stocks Transfer,1/1/2013 1:00,Person_7484,Luxury Goods,South Africa,FALSE,Illegal,9,0,Bank_461,Bahamas
TX0000000003,UK,94167.50048,Stocks Transfer,1/1/2013 2:00,Person_3655,Construction,Switzerland,TRUE,Illegal,1,3,Bank_387,Switzerland
TX0000000004,UAE,386420.1412,Cash Withdrawal,1/1/2013 3:00,Person_3226,Oil & Gas,Russia,FALSE,Illegal,7,2,Bank_353,Panama
TX0000000005,South Africa,643378.4264,Cryptocurrency,1/1/2013 4:00,Person_7975,Real Estate,USA,TRUE,Illegal,1,9,Bank_57,Luxembourg
TX0000000006,Russia,4921056.454,Property Purchase,1/1/2013 5:00,Person_4000,Arms Trade,Brazil,FALSE,Legal,7,3,Bank_436,Cayman Islands
TX0000000007,Switzerland,3262817.984,Property Purchase,1/1/2013 6:00,Person_2517,Oil & Gas,Brazil,FALSE,Legal,7,8,Bank_452,Panama
TX0000000008,UAE,4687204.61,Property Purchase,1/1/2013 7:00,Person_4310,Real Estate,UK,FALSE,Illegal,3,5,Bank_88,Luxembourg
TX0000000009,Brazil,903905.9486,Cryptocurrency,1/1/2013 8:00,Person_8955,Arms Trade,India,FALSE,Illegal,3,6,Bank_87,Panama
TX0000000010,China,4174994.676,Offshore Transfer,1/1/2013 9:00,Person_9585,Arms Trade,China,FALSE,Illegal,9,0,Bank_404,Switzerland
TX0000000011,South Africa,2675518.773,Offshore Transfer,1/1/2013 10:00,Person_3241,Casinos,South Africa,TRUE,Legal,8,1,Bank_273,Cayman Islands
TX0000000012,Switzerland,3370300.35,Stocks Transfer,1/1/2013 11:00,Person_9098,Arms Trade,UK,FALSE,Legal,9,1,Bank_252,Switzerland
TX0000000013,Brazil,729587.7725,Stocks Transfer,1/1/2013 12:00,Person_643,Real Estate,Brazil,FALSE,Illegal,5,7,Bank_190,Cayman Islands
TX0000000014,South Africa,2973516.598,Property Purchase,1/1/2013 13:00,Person_3269,Real Estate,Singapore,FALSE,Illegal,6,3,Bank_267,Luxembourg
TX0000000015,UK,3669888.192,Stocks Transfer,1/1/2013 14:00,Person_778,Construction,China,FALSE,Legal,1,5,Bank_164,Switzerland
TX0000000016,China,3740050.645,Offshore Transfer,1/1/2013 15:00,Person_5538,Real Estate,Brazil,TRUE,Illegal,3,6,Bank_211,Panama
0,Switzerland,3262817.984,Property Purchase,1/1/2013 6:00,9,Oil & Gas,Brazil,FALSE,Legal,7,8,Bank_452,Panama
TX0000000017,Switzerland,3865495.571,Stocks Transfer,1/1/2013 16:00,Person_8463,Real Estate,South Africa,TRUE,Illegal,6,1,Bank_311,Switzerland
TX0000000018,India,2168678.373,Cash Withdrawal,1/1/2013 17:00,Person_5269,Oil & Gas,South Africa,FALSE,Illegal,9,6,Bank_439,Cayman Islands
TX0000000019,South Africa,1486877.067,Cryptocurrency,1/1/2013 18:00,Person_2149,Luxury Goods,UK,FALSE,Illegal,5,4,Bank_50,Cayman Islands
TX0000000020,UAE,4311216.029,Cash Withdrawal,1/1/2013 19:00,Person_8310,Construction,UK,FALSE,Legal,6,5,Bank_337,Bahamas
TX0000000021,Switzerland,4207602.797,Stocks Transfer,1/1/2013 20:00,Person_4043,Luxury Goods,UAE,FALSE,Illegal,4,5,Bank_409,Bahamas
TX0000000022,USA,2669181.104,Property Purchase,1/1/2013 21:00,Person_6311,Oil & Gas,Singapore,TRUE,Illegal,1,7,Bank_380,Switzerland
TX0000000023,Brazil,970553.3624,Offshore Transfer,1/1/2013 22:00,Person_9762,Luxury Goods,Switzerland,FALSE,Legal,3,2,Bank_471,Luxembourg
TX0000000024,UK,2556050.525,Cash Withdrawal,1/1/2013 23:00,Person_5,Casinos,Singapore,FALSE,Illegal,8,5,Bank_490,Luxembourg
TX0000000025,USA,1001673.606,Property Purchase,1/2/2013 0:00,Person_587,Real Estate,USA,FALSE,Illegal,10,1,Bank_209,Luxembourg
TX0000000026,Brazil,4386548.957,Property Purchase,1/2/2013 1:00,Person_1879,Construction,UAE,FALSE,Illegal,4,9,Bank_405,Panama
TX0000000027,UAE,870064.087,Stocks Transfer,1/2/2013 2:00,Person_4729,Oil & Gas,Russia,FALSE,Legal,2,8,Bank_287,Luxembourg
TX0000000028,Russia,2998826.877,Property Purchase,1/2/2013 3:00,Person_516,Real Estate,China,FALSE,Legal,6,4,Bank_323,Luxembourg
TX0000000029,USA,3747602.561,Offshore Transfer,1/2/2013 4:00,Person_160,Luxury Goods,USA,FALSE,Illegal,9,7,Bank_266,Singapore
TX0000000030,India,1930397.271,Offshore Transfer,1/2/2013 5:00,Person_7905,Construction,Switzerland,FALSE,Illegal,9,9,Bank_461,Bahamas
TX0000000031,Brazil,1452528.114,Property Purchase,1/2/2013 6:00,Person_8714,Construction,China,FALSE,Illegal,1,8,Bank_38,Luxembourg
TX0000000032,South Africa,3292071.134,Offshore Transfer,1/2/2013 7:00,Person_5732,Arms Trade,India,FALSE,Legal,2,3,Bank_494,Singapore
TX0000000033,UK,4291183.23,Cash Withdrawal,1/2/2013 8:00,Person_9688,Casinos,South Africa,FALSE,Illegal,9,7,Bank_113,Cayman Islands
TX0000000034,UAE,4862728.176,Cryptocurrency,1/2/2013 9:00,Person_9219,Luxury Goods,UAE,FALSE,Legal,8,9,Bank_135,Bahamas
TX0000000035,Brazil,2332844.837,Stocks Transfer,1/2/2013 10:00,Person_9853,Real Estate,Russia,FALSE,Legal,9,8,Bank_342,Bahamas
TX0000000036,Russia,4907863.467,Offshore Transfer,1/2/2013 11:00,Person_8363,Luxury Goods,USA,TRUE,Legal,7,9,Bank_285,Singapore
TX0000000037,China,4071726.42,Stocks Transfer,1/2/2013 12:00,Person_4599,Construction,USA,FALSE,Illegal,4,6,Bank_390,Singapore
TX0000000038,Switzerland,3260776.768,Cryptocurrency,1/2/2013 13:00,Person_3680,Real Estate,Singapore,FALSE,Legal,4,6,Bank_343,Luxembourg
TX0000000039,USA,45712.45443,Offshore Transfer,1/2/2013 14:00,Person_4804,Oil & Gas,USA,FALSE,Illegal,1,8,Bank_118,Bahamas
TX0000000040,UK,576321.7385,Cryptocurrency,1/2/2013 15:00,Person_8600,Luxury Goods,China,FALSE,Illegal,2,5,Bank_2,Cayman Islands
TX0000000041,South Africa,2854182.862,Cash Withdrawal,1/2/2013 16:00,Person_6246,Construction,China,FALSE,Illegal,5,7,Bank_296,Switzerland
TX0000000042,India,3746204.255,Cash Withdrawal,1/2/2013 17:00,Person_2936,Arms Trade,China,FALSE,Illegal,7,2,Bank_433,Singapore
TX0000000043,UK,292201.8751,Cash Withdrawal,1/2/2013 18:00,Person_4033,Real Estate,UK,FALSE,Illegal,10,1,Bank_45,Switzerland
TX0000000044,UAE,2264995.481,Property Purchase,1/2/2013 19:00,Person_2537,Casinos,Singapore,FALSE,Illegal,5,0,Bank_247,Cayman Islands
TX0000000045,Russia,4688572.215,Cash Withdrawal,1/2/2013 20:00,Person_943,Finance,China,FALSE,Legal,9,6,Bank_190,Cayman Islands
TX0000000046,Switzerland,587176.9399,Stocks Transfer,1/2/2013 21:00,Person_479,Real Estate,China,FALSE,Legal,6,3,Bank_76,Bahamas
TX0000000047,China,1724208.683,Property Purchase,1/2/2013 22:00,Person_21,Luxury Goods,South Africa,FALSE,Illegal,7,9,Bank_466,Luxembourg
TX0000000048,Singapore,84887.50305,Property Purchase,1/2/2013 23:00,Person_7362,Finance,South Africa,FALSE,Legal,3,2,Bank_191,Luxembourg
TX0000000049,UAE,270522.1763,Cash Withdrawal,1/3/2013 0:00,Person_4829,Construction,China,FALSE,Legal,1,0,Bank_71,Switzerland
TX0000000050,Russia,1473321.898,Cash Withdrawal,1/3/2013 1:00,Person_2327,Oil & Gas,South Africa,FALSE,Illegal,8,1,Bank_287,Bahamas
TX0000000051,South Africa,799056.638,Property Purchase,1/3/2013 2:00,Person_9899,Real Estate,China,FALSE,Illegal,4,9,Bank_72,Singapore
TX0000000052,Switzerland,964719.84,Offshore Transfer,1/3/2013 3:00,Person_298,Construction,China,FALSE,Legal,10,2,Bank_42,Cayman Islands
TX0000000053,Brazil,917555.3953,Stocks Transfer,1/3/2013 4:00,Person_3863,Construction,India,FALSE,Illegal,1,2,Bank_49,Switzerland
TX0000000054,South Africa,1980946.991,Cash Withdrawal,1/3/2013 5:00,Person_9641,Arms Trade,Brazil,FALSE,Illegal,9,5,Bank_18,Singapore
TX0000000055,China,3432916.898,Cryptocurrency,1/3/2013 6:00,Person_892,Casinos,China,FALSE,Illegal,9,7,Bank_174,Panama
TX0000000056,Brazil,4295546.672,Cash Withdrawal,1/3/2013 7:00,Person_8609,Oil & Gas,Singapore,FALSE,Legal,9,0,Bank_340,Singapore
TX0000000057,USA,1351396.962,Cryptocurrency,1/3/2013 8:00,Person_592,Casinos,China,TRUE,Legal,8,9,Bank_63,Cayman Islands
TX0000000058,Russia,65964.20044,Property Purchase,1/3/2013 9:00,Person_1172,Luxury Goods,Singapore,TRUE,Legal,10,6,Bank_3,Bahamas
TX0000000059,Brazil,813473.9931,Property Purchase,1/3/2013 10:00,Person_3900,Oil & Gas,UK,FALSE,Legal,4,0,Bank_187,Bahamas
TX0000000060,South Africa,3970617.932,Offshore Transfer,1/3/2013 11:00,Person_1992,Arms Trade,Russia,FALSE,Illegal,1,2,Bank_110,Bahamas
TX0000000061,USA,1581520.601,Property Purchase,1/3/2013 12:00,Person_5231,Oil & Gas,Russia,TRUE,Legal,4,6,Bank_479,Cayman Islands
TX0000000062,USA,1164391.122,Cryptocurrency,1/3/2013 13:00,Person_9220,Luxury Goods,UAE,FALSE,Illegal,7,9,Bank_418,Singapore
TX0000000063,USA,2177304.122,Stocks Transfer,1/3/2013 14:00,Person_6310,Real Estate,Russia,FALSE,Illegal,10,9,Bank_146,Bahamas
TX0000000064,South Africa,2524958.981,Cash Withdrawal,1/3/2013 15:00,Person_7570,Casinos,USA,FALSE,Illegal,3,5,Bank_337,Cayman Islands
TX0000000065,Singapore,2311265.491,Property Purchase,1/3/2013 16:00,Person_6019,Arms Trade,Russia,FALSE,Legal,5,4,Bank_154,Bahamas
TX0000000066,USA,4033119.74,Cash Withdrawal,1/3/2013 17:00,Person_9886,Finance,UK,FALSE,Illegal,2,3,Bank_296,Panama
TX0000000067,USA,1904412.45,Offshore Transfer,1/3/2013 18:00,Person_9544,Arms Trade,India,FALSE,Illegal,7,0,Bank_187,Bahamas
TX0000000068,Brazil,2075346.001,Property Purchase,1/3/2013 19:00,Person_1710,Real Estate,South Africa,FALSE,Illegal,7,4,Bank_18,Switzerland
TX0000000069,Russia,2952314.55,Offshore Transfer,1/3/2013 20:00,Person_9460,Oil & Gas,Russia,FALSE,Illegal,4,7,Bank_491,Bahamas
TX0000000070,Brazil,2053475.368,Cryptocurrency,1/3/2013 21:00,Person_5888,Luxury Goods,Switzerland,TRUE,Illegal,9,1,Bank_424,Singapore
TX0000000071,Switzerland,159132.3109,Cash Withdrawal,1/3/2013 22:00,Person_7747,Finance,South Africa,FALSE,Illegal,1,9,Bank_146,Cayman Islands
TX0000000072,Russia,4717525.259,Offshore Transfer,1/3/2013 23:00,Person_4245,Construction,Singapore,TRUE,Legal,3,1,Bank_268,Bahamas
TX0000000073,South Africa,1070754.784,Cryptocurrency,1/4/2013 0:00,Person_3517,Oil & Gas,India,FALSE,Legal,7,6,Bank_362,Bahamas
TX0000000074,South Africa,4342358.352,Property Purchase,1/4/2013 1:00,Person_3557,Arms Trade,Russia,FALSE,Illegal,3,6,Bank_15,Panama
TX0000000075,China,3372288.164,Cash Withdrawal,1/4/2013 2:00,Person_9513,Finance,Brazil,TRUE,Legal,1,3,Bank_157,Switzerland
TX0000000076,UK,3458156.434,Stocks Transfer,1/4/2013 3:00,Person_2872,Finance,Brazil,FALSE,Legal,4,1,Bank_15,Cayman Islands
TX0000000077,Switzerland,1511361.948,Offshore Transfer,1/4/2013 4:00,Person_5913,Finance,India,FALSE,Illegal,5,1,Bank_328,Panama
TX0000000078,Brazil,683434.1331,Property Purchase,1/4/2013 5:00,Person_981,Finance,South Africa,FALSE,Illegal,5,5,Bank_368,Switzerland
TX0000000079,Switzerland,2794778.485,Cash Withdrawal,1/4/2013 6:00,Person_7103,Finance,India,FALSE,Illegal,6,8,Bank_137,Bahamas
TX0000000080,India,2442766.008,Offshore Transfer,1/4/2013 7:00,Person_5722,Real Estate,UAE,FALSE,Illegal,9,3,Bank_432,Cayman Islands
TX0000000081,UAE,4982819.159,Cryptocurrency,1/4/2013 8:00,Person_4157,Oil & Gas,UAE,FALSE,Illegal,9,7,Bank_237,Singapore
TX0000000082,UAE,235725.0266,Stocks Transfer,1/4/2013 9:00,Person_9236,Construction,UK,FALSE,Legal,7,2,Bank_226,Luxembourg
TX0000000083,UK,4909232.798,Property Purchase,1/4/2013 10:00,Person_508,Oil & Gas,Brazil,FALSE,Illegal,6,0,Bank_180,Switzerland
TX0000000084,USA,241596.0144,Cash Withdrawal,1/4/2013 11:00,Person_2786,Finance,Switzerland,FALSE,Illegal,8,4,Bank_198,Singapore
,Brazil,1585310.547,Stocks Transfer,1/4/2013 12:00,Person_8997,Arms Trade,UK,FALSE,Illegal,1,6,Bank_320,Luxembourg
